# %ECSV 1.0
# ---
# datatype:
# - {name: Alias, datatype: string}
# - {name: ledaName, datatype: string}
# - {name: al2000, datatype: float64}
# - {name: de2000, datatype: float64}
# - {name: type, datatype: string}
# - {name: bar, datatype: string}
# - {name: ring, datatype: string}
# - {name: multiple, datatype: string}
# - {name: t, datatype: float64}
# - {name: agnclass, datatype: string}
# - {name: logd25, datatype: float64}
# - {name: e_logd25, datatype: float64}
# - {name: logr25, datatype: float64}
# - {name: e_logr25, datatype: float64}
# - {name: pa, datatype: float64}
# - {name: bt, datatype: float64}
# - {name: it, datatype: float64}
# - {name: m21, datatype: float64}
# - {name: mfir, datatype: float64}
# - {name: vmaxg, datatype: float64}
# - {name: e_vmaxg, datatype: float64}
# - {name: v, datatype: float64}
# - {name: e_v, datatype: float64}
# - {name: ag, datatype: float64}
# - {name: incl, datatype: float64}
# - {name: vrot, datatype: float64}
# - {name: e_vrot, datatype: float64}
# - {name: vvir, datatype: float64}
# - {name: modz, datatype: float64}
# delimiter: ','
# schema: astropy-2.0
Alias,ledaName,al2000,de2000,type,bar,ring,multiple,t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,bt,it,m21,mfir,vmaxg,e_vmaxg,v,e_v,ag,incl,vrot,e_vrot,vvir,modz
2MASXJ01144386+0017100,PGC073837,1.2455147,0.2860168,SBc,B,,,5.0,S2,0.752,0.055,0.22,0.023,121.92,16.318,14.777,,,158.48,7.47,13539.6,4.4,0.138,54.54,194.56,9.27,13467.9,36.486
IC1652,IC1652,1.2489554,31.9485189,S0-a,,,,-0.1,,1.121,0.075,0.881,0.059,169.6,14.227,12.439,,,,,5067.0,9.0,0.237,90.0,,,5150.0,34.37
NGC0447,NGC0447,1.2604444,33.0676389,S0-a,B,,,0.2,,1.345,0.055,0.012,0.048,,15.075,11.414,16.082,,94.03,3.01,5595.9,4.7,0.269,14.59,373.28,24.22,5683.9,34.585
NGC0444,NGC0444,1.2637817,31.0801809,Sc,,,,6.4,,1.195,0.03,0.658,0.022,159.85,14.999,13.166,15.557,,117.5,2.46,4836.9,1.8,0.272,81.93,118.68,2.49,4915.3,34.263
UGC00809,UGC00809,1.2644064,33.8107296,Sc,,,,5.9,,1.076,0.035,0.659,0.03,22.43,15.363,13.611,15.619,,141.97,3.48,4205.1,2.5,0.256,82.79,143.1,3.51,4296.4,33.972
UGC00841,UGC00841,1.319458,33.0304864,Sbc,,,,4.0,,1.115,0.033,0.664,0.026,53.72,14.928,13.638,16.532,,130.4,3.09,5573.6,3.0,0.278,90.0,130.4,,5659.6,34.585
NGC0472,NGC0472,1.3413018,32.7094486,Sb,,,,3.0,,0.953,0.058,0.118,0.031,,14.157,12.285,,,,,5279.6,8.7,0.212,42.07,,,5363.5,34.455
UGC00881,UGC00881,1.3481917,4.8015556,E,,,,-4.8,,1.049,0.043,0.129,0.03,53.01,15.257,,,,,,10198.0,9.3,0.123,64.03,,,10144.5,35.854
MCG+07-03-031,PGC004901,1.3525682,40.4702507,Sc,,,,4.9,,0.874,0.058,0.19,0.028,30.5,14.752,,,13.085,,,5836.0,9.0,0.227,51.27,,,5955.5,34.693
NGC0477,NGC0477,1.3556544,40.4882148,Sc,B,,,5.0,,1.191,0.048,0.45,0.028,135.46,13.914,12.162,15.001,,150.18,4.73,5858.4,3.0,0.232,72.67,157.33,4.98,5978.0,34.693
IC1683,IC1683,1.3774611,34.437,Sb,,,,2.7,,1.119,0.076,0.36,0.057,173.03,14.127,,17.174,12.336,182.16,13.05,4881.8,9.7,0.217,69.03,195.07,14.08,4972.8,34.299
NGC0495,NGC0495,1.3822667,33.4703116,S0-a,B,,,0.2,,1.039,0.043,0.15,0.027,168.77,13.68,12.075,,,,,4103.5,12.5,0.311,49.23,,,4189.8,33.931
NGC0499,NGC0499,1.386532,33.4603155,E-S0,,,,-2.9,,1.226,0.036,0.204,0.034,77.26,13.317,10.495,,,,,4361.8,7.9,0.305,66.91,,,4447.9,34.054
NGC0496,NGC0496,1.3865417,33.5285441,Sbc,,,,4.0,,0.95,0.052,0.43,0.028,36.39,14.299,12.539,15.451,13.321,135.47,3.42,6005.2,2.4,0.313,72.45,142.08,3.62,6091.6,34.738
NGC0504,NGC0504,1.3910827,33.2040527,S0,,,,-2.0,,1.189,0.035,0.599,0.035,45.41,13.953,12.275,,,,,4240.6,9.6,0.258,90.0,,,4325.4,33.993
UGC934,UGC00934,1.3912011,30.7844771,Sc,,,M,4.6,,1.01,0.048,0.484,0.026,145.64,14.631,13.541,16.665,,185.74,7.23,10490.7,10.5,0.231,75.19,192.13,7.51,10563.9,35.943
NGC0507,NGC0507,1.3944315,33.2557624,E-S0,,R,M,-3.3,,1.39,0.032,0.17,0.028,71.0,12.574,10.075,,,,,4933.8,6.9,0.269,62.57,,,5018.7,34.317
NGC0508,NGC0508,1.3946351,33.2808629,E,,,M,-4.9,,1.032,0.045,0.048,0.03,25.0,14.204,11.935,,,,,5493.5,8.3,0.273,37.26,,,5578.5,34.553
IC1689,IC1689,1.3966183,33.0551019,S0,,,,-2.0,,0.793,0.085,0.18,0.028,170.99,14.776,12.595,,,,,4553.5,10.5,0.253,58.5,,,4637.4,34.151
