# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC5947,13.5,183,0.01698,0.007613
NGC5947,16.5,199,0.01212,0.005327
NGC5947,19.5,191,0.008547,0.003363
NGC5947,22.5,94,0.005362,0.002089
NGC5953,1.5,25,1.059,0.04674
NGC5953,4.5,76,0.8607,0.1011
NGC5953,7.5,128,0.5363,0.1216
NGC5953,10.5,176,0.2334,0.09114
NGC5953,13.5,227,0.06524,0.04198
NGC5953,16.5,214,0.01592,0.01496
NGC5953,19.5,122,0.0129,0.0115
NGC5953,22.5,112,0.01778,0.01369
NGC5980,1.5,12,0.4099,0.02191
NGC5980,4.5,34,0.333,0.04667
NGC5980,7.5,57,0.262,0.05079
NGC5980,10.5,78,0.2096,0.05025
NGC5980,13.5,103,0.1651,0.05099
NGC5980,16.5,126,0.1326,0.04587
NGC5980,19.5,149,0.09841,0.03747
NGC5980,22.5,170,0.06807,0.02567
NGC6004,1.5,22,0.1865,0.02451
NGC6004,4.5,68,0.1088,0.04132
NGC6004,7.5,110,0.05318,0.03333
NGC6004,10.5,158,0.04514,0.02597
NGC6004,13.5,204,0.04687,0.02397
NGC6004,16.5,245,0.04134,0.01975
NGC6004,19.5,286,0.02674,0.01454
NGC6004,22.5,267,0.01815,0.008149
NGC6060,1.5,11,0.2196,0.004994
NGC6060,4.5,37,0.2022,0.01317
NGC6060,7.5,61,0.1648,0.02425
NGC6060,10.5,85,0.1135,0.03463
NGC6060,13.5,110,0.07798,0.03247
NGC6060,16.5,135,0.06208,0.0254
NGC6060,19.5,160,0.05875,0.02226
NGC6060,22.5,183,0.05681,0.01969
NGC6155,1.5,20,0.1223,0.006213
NGC6155,4.5,60,0.1079,0.01488
