# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC5657,7.5,51,0.04353,0.03127
NGC5657,10.5,51,0.02714,0.02435
NGC5657,13.5,40,0.01725,0.01686
NGC5657,16.5,23,0.008826,0.005843
NGC5657,19.5,11,0.005375,0.002448
NGC5657,22.5,2,0.004539,0.000489
NGC5784,1.5,20,0.01918,0.01118
NGC5784,4.5,58,0.02754,0.01714
NGC5784,7.5,82,0.02966,0.01858
NGC5784,10.5,90,0.02215,0.01411
NGC5784,13.5,88,0.01231,0.007465
NGC5784,16.5,50,0.00606,0.005184
NGC5784,19.5,1,0.003848,0.0009082
NGC5784,22.5,0,0.0,0.0
NGC5908,1.5,6,0.5136,0.009666
NGC5908,4.5,18,0.5142,0.01755
NGC5908,7.5,32,0.5182,0.03774
NGC5908,10.5,43,0.5341,0.07143
NGC5908,13.5,57,0.5383,0.1015
NGC5908,16.5,70,0.5141,0.1076
NGC5908,19.5,82,0.4545,0.09601
NGC5908,22.5,95,0.3801,0.08237
NGC5930,1.5,20,1.437,0.1399
NGC5930,4.5,59,0.8561,0.2324
NGC5930,7.5,100,0.3278,0.1561
NGC5930,10.5,140,0.08859,0.06445
NGC5930,13.5,141,0.01757,0.02144
NGC5930,16.5,48,0.00648,0.005056
NGC5930,19.5,17,0.00635,0.002
NGC5930,22.5,2,0.006647,0.001092
NGC5934,1.5,16,0.5377,0.03165
NGC5934,4.5,48,0.4125,0.07605
NGC5934,7.5,80,0.2484,0.09565
NGC5934,10.5,114,0.122,0.08195
NGC5934,13.5,131,0.05643,0.04842
NGC5934,16.5,107,0.02558,0.02254
NGC5934,19.5,63,0.00973,0.006898
NGC5934,22.5,24,0.004975,0.001187
NGC5947,1.5,1,0.005089,3.667e-05
NGC5947,4.5,31,0.006306,0.002141
NGC5947,7.5,81,0.01042,0.005816
NGC5947,10.5,104,0.01444,0.008532
NGC5947,13.5,119,0.01501,0.007301
NGC5947,16.5,125,0.01105,0.00492
NGC5947,19.5,71,0.005966,0.002561
