# %ECSV 0.9
# ---
# datatype:
# - {name: bbName, datatype: string}
# - {name: RADIUS, unit: arcsec, datatype: float64}
# - {name: NPIX, datatype: int64, description: number of pixels in ring}
# - {name: SURFDENS, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: 'average intensity in ring, not corrected for inclination'}
# - {name: ERR_SD, unit: (Jy*km/s)/arcsec**2, datatype: float64, description: standard deviation of intensity in ring}
# delimiter: ','
# meta: !!omap
# - {comments: ''}
# schema: astropy-2.0
bbName,RADIUS,NPIX,SURFDENS,ERR_SD
NGC6186,16.5,93,0.1306,0.1491
NGC6186,19.5,107,0.09845,0.1065
NGC6186,22.5,119,0.07301,0.07871
NGC6301,1.5,17,0.03903,0.00693
NGC6301,4.5,51,0.03931,0.01234
NGC6301,7.5,86,0.04126,0.01618
NGC6301,10.5,119,0.04275,0.01778
NGC6301,13.5,153,0.0424,0.01908
NGC6301,16.5,184,0.03973,0.01731
NGC6301,19.5,209,0.03721,0.01379
NGC6301,22.5,229,0.02924,0.01152
NGC6314,1.5,16,0.2656,0.01929
NGC6314,4.5,45,0.1888,0.03731
NGC6314,7.5,75,0.103,0.03214
NGC6314,10.5,104,0.04421,0.02262
NGC6314,13.5,122,0.02027,0.01214
NGC6314,16.5,112,0.01289,0.00874
NGC6314,19.5,87,0.01132,0.007653
NGC6314,22.5,69,0.01284,0.006082
NGC6361,1.5,7,1.115,0.03948
NGC6361,4.5,22,0.9588,0.1268
NGC6361,7.5,36,0.7424,0.2032
NGC6361,10.5,51,0.5666,0.2345
NGC6361,13.5,66,0.4259,0.2382
NGC6361,16.5,79,0.3317,0.2348
NGC6361,19.5,95,0.2561,0.2237
NGC6361,22.5,109,0.1974,0.2075
NGC6394,1.5,13,0.1332,0.01001
NGC6394,4.5,43,0.102,0.01825
NGC6394,7.5,69,0.07474,0.01976
NGC6394,10.5,99,0.05665,0.02631
NGC6394,13.5,120,0.04824,0.03532
NGC6394,16.5,124,0.04201,0.03955
NGC6394,19.5,116,0.03694,0.03755
NGC6394,22.5,91,0.03039,0.02824
NGC6478,1.5,8,0.3446,0.01175
NGC6478,4.5,23,0.3198,0.02281
NGC6478,7.5,40,0.2782,0.04141
NGC6478,10.5,57,0.2423,0.05002
NGC6478,13.5,72,0.2168,0.05159
NGC6478,16.5,89,0.1888,0.05134
NGC6478,19.5,104,0.155,0.05155
NGC6478,22.5,121,0.1194,0.0497
NGC7738,1.5,11,1.094,0.1016
NGC7738,4.5,34,0.7667,0.2112
NGC7738,7.5,59,0.4163,0.2221
NGC7738,10.5,81,0.1909,0.1571
NGC7738,13.5,104,0.08776,0.08884
NGC7738,16.5,120,0.03904,0.04287
NGC7738,19.5,104,0.01968,0.01914
