# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string}
# - {name: W1, unit: mag, datatype: float64, description: 3.4 um Vega magnitude from
#     image photometry from table by Bitsakis. NGC0598 and NGC4676A are from w1mpro
#     in allWISE catalog}
# - {name: eW1, unit: mag, datatype: float64, description: Error in W1 in Vega magnitudes
#     from table by Bitsakis. NGC0598 and NGC4676A are from w1mpro+2.5*log(w1snr) in
#     allWISE catalog}
# - {name: W2, unit: mag, datatype: float64, description: 4.6 um Vega magnitude from
#     Bitsakis}
# - {name: eW2, unit: mag, datatype: float64, description: Error in W2 in Vega magnitudes
#     from Bitsakis}
# - {name: W3, unit: mag, datatype: float64, description: 12 um Vega magnitude from
#     Bitsakis}
# - {name: eW3, unit: mag, datatype: float64, description: Error in W3 in Vega magnitudes
#     from Bitsakis}
# - {name: W4, unit: mag, datatype: float64, description: 22 um Vega magnitude from
#     Bitsakis}
# - {name: eW4, unit: mag, datatype: float64, description: Error in W4 in Vega magnitudes
#     from Bitsakis}
# - {name: W1lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W1 from caDistMpc and W1 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W2lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W2 from caDistMpc and W2 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W3lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W3 from caDistMpc and W3 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W4lum, unit: dex(erg / s), datatype: float64, description: 'Luminosity in
#     W4 from caDistMpc and W4 magnitude using the zero point, frequency, and bandwidth
#     from Jarrett+11'}
# - {name: W4SFR, unit: solMass / yr, datatype: float64, description: SFR from W4lum
#     using Catalan-Torrecilla+14 calibration}
# delimiter: ','
Name,W1,eW1,W2,eW2,W3,eW3,W4,eW4,W1lum,W2lum,W3lum,W4lum,W4SFR
UGC06312,10.188,15.358,10.186,14.859,7.903,12.895,6.568,9.786,43.3507,42.9583,42.7548,42.4123,0.54263
UGC07012,11.357,15.941,11.251,15.389,7.734,12.826,5.961,9.49,42.2666,41.9157,42.2058,42.0386,0.229497
UGC08107,9.867,15.198,9.738,14.635,6.702,12.323,5.043,9.032,43.7402,43.3986,43.4963,43.2834,4.03289
UGC08250,11.524,16.023,11.307,15.412,8.093,12.952,6.116,9.567,42.6693,42.3629,42.5317,42.4461,0.586524
UGC08267,10.507,15.519,10.365,14.949,6.973,12.458,5.305,9.164,43.3458,43.0094,43.2495,43.0402,2.30372
UGC09067,10.691,15.607,10.591,15.061,7.13,12.543,5.514,9.27,43.3582,43.005,43.2727,43.0426,2.31632
UGC09476,10.009,15.267,9.935,14.734,6.527,12.238,4.882,8.952,42.8507,42.487,42.7335,42.5151,0.687506
UGC09537,9.71,15.116,9.675,14.601,6.938,12.411,5.312,9.164,43.8613,43.4821,43.4602,43.2341,3.60029
UGC09542,10.795,15.662,10.71,15.119,7.436,12.688,5.724,9.373,43.0019,42.6427,42.8355,42.6439,0.924888
UGC09665,9.901,15.213,9.766,14.649,6.177,12.065,4.339,8.683,42.6821,42.3429,42.6618,42.5205,0.696229
UGC09759,10.365,15.447,10.263,14.9,7.036,12.493,5.311,9.168,42.7558,42.4034,42.5775,42.391,0.516656
UGC09873,11.412,15.964,11.313,15.417,8.012,12.972,6.039,9.531,42.8752,42.5216,42.7252,42.638,0.912392
UGC09892,11.068,15.796,11.03,15.278,7.91,12.911,6.377,9.696,42.9199,42.5419,42.6732,42.4099,0.539682
UGC09919,11.187,15.853,11.053,15.289,7.821,12.88,5.859,9.441,42.3888,42.0492,42.2253,42.1336,0.285628
UGC10043,10.038,15.284,9.837,14.686,6.436,12.195,4.909,8.967,42.4851,42.1723,42.416,42.1503,0.296859
UGC10123,9.692,15.111,9.54,14.538,6.004,11.984,4.347,8.687,43.1011,42.7687,43.0663,42.8527,1.49584
UGC10205,9.607,15.066,9.59,14.56,7.084,12.489,5.786,9.399,43.6289,43.2425,43.1282,42.7709,1.23908
UGC10331,11.142,15.827,10.996,15.26,7.217,12.587,4.528,8.778,42.6833,42.3484,42.7433,42.9424,1.83935
UGC10380,10.572,15.551,10.496,15.015,7.995,12.962,6.429,9.725,43.3776,43.0148,42.8985,42.6484,0.934548
UGC10384,10.257,15.39,10.028,14.78,6.052,12.001,4.166,8.596,43.1258,42.8242,43.2979,43.1758,3.1481
UGC10710,10.27,15.4,10.184,14.858,7.181,12.557,5.923,9.47,43.5795,43.2207,43.3052,42.9319,1.79526
