Name,ledaRA,ledaDE, rfVsys, rfVsysFlag, rfLSRK2helio,rfRflat, rfVrotMaxL, rfeVrotMaxL, rfVrotMaxLFlag,rfVrotMax, rfeVrotMax,rfPA, rfPAFlag, rfInc, rfIncFlag,rfKinXoff, rfKinYoff, rfKinRA, rfKinDecl
UGC09759,15.1780248,55.3503541,3394,0,3.85,NaN,NaN,NaN,0,NaN,NaN,49.7,2,66.8,2,3.6,-2.1,15.17809147,55.34977077
UGC09873,15.4973977,42.6290023,5575,0,1.93,NaN,NaN,NaN,0,NaN,NaN,129,0,75.3,2,0,0,15.4973977,42.6290023
UGC09892,15.5477663,41.1914452,5591,0,1.7,13.4,135.3,11.7,1,133.9,3.4,101,2,72.2,2,0,0,15.5477663,41.1914452
UGC09919,15.5943455,12.6063379,3160,0,-2.73,NaN,NaN,NaN,0,NaN,NaN,349.2,2,77.9,2,0,0,15.5943455,12.6063379
UGC10043,15.8114719,21.8694914,2154,0,-1.37,NaN,NaN,NaN,0,NaN,NaN,327.8,0,90,3,-2,-1,15.81143486,21.86921362
UGC10123,15.9841238,51.3045558,3738,0,3.15,15.5,207.9,9.4,1,204.6,10.5,236.6,0,70,0,1.1,-2.5,15.98414417,51.30386136
UGC10205,16.1111606,30.0989726,6491,0,-0.14,9.7,237.8,14.9,1,269,0,128.6,0,51.7,2,0,0,16.1111606,30.0989726
UGC10331,16.2891971,59.320144,4415,1,4.26,NaN,NaN,NaN,0,NaN,NaN,140.8,2,76.2,2,0,0,16.2891971,59.320144
UGC10380,16.430538,16.5761297,8624,0,-2.33,NaN,NaN,NaN,0,NaN,NaN,288.2,2,77.9,2,0,0,16.430538,16.5761297
UGC10384,16.4462964,11.5802413,4927,0,-3.09,14.9,187.4,8.9,1,187.4,8.1,275.8,0,70,0,0,0,16.4462964,11.5802413
UGC10710,17.1145801,43.1221174,8228,0,1.72,NaN,NaN,NaN,0,NaN,NaN,329.5,3,69.6,2,0,0,17.1145801,43.1221174
