CALIFA_name,RA,DEC,Distance,zstar,SNR,PA,Final_QS,Final_NA,SFR,Mstar,Det_4sig?
UGC02367,43.4216666666667,6.265555555555559,103.98597469892356,0.0246270511702585,11.89443093516644,233.785695471259,MX,nonA,3.840467549099188,187731655358.50607,Y
UGC04145,119.91708333333297,15.3867777777778,64.10799386750449,0.0151827287282618,15.905811265877105,225.596375933296,MX,sAGN,0.1134565556994028,34952851611.64047,Y
UGC04197,120.85624999999997,10.0504722222222,64.0100538270922,0.0151595335387775,4.401308135526538,218.259050099461,cQ,nonA,0.34987247150513023,48012793394.71378,Y
UGC04375,125.79666666666698,22.6645833333333,28.062863285189206,0.00664614215627944,4.889338072475735,242.35816422412,cQ,nonA,0.2270880197239018,10956448668.545673,Y
UGC04425,127.05958333333297,28.0572777777778,81.86751917759287,0.0193887261220197,6.297243230215058,220.850985131675,MX,nonA,1.2687895931689641,25933275535.358906,Y
UGC09110,213.55541666666699,15.6223888888889,65.13198482099953,0.0154252410255463,6.029619173731226,105.396486905221,cQ,nonA,2.3125856955448567,31203849676.036144,Y
UGC09401,219.03833333333296,21.793527777777804,79.3281910808585,0.0187873357599308,4.522726159384234,176.304372066558,MX,nonA,1.1809899589792623,126485852432.08714,Y
UGC09711,226.65249999999997,9.438583333333343,117.87794261980623,0.0279170929843947,6.028523018209993,197.521881420413,MX,sAGN,0.15651495979911925,104455930271.14731,Y
UGC10738,257.77374999999995,5.85169444444444,94.6367597932445,0.0224128718585721,5.660769561741204,138.390571469049,MX,nonA,0.2612063513973096,101500775992.3312,Y
UGC11680NED01,316.9220833333329,3.8715833333333305,108.94046737636288,0.0258004261859108,28.082675740843076,154.633503569024,MX,sAGN,1.2750821121495655,177670137413.53586,Y
UGC12518,350.052916666667,7.93219444444445,53.36135046191449,0.0126375957156198,6.827825839142253,114.987451025808,nR,nonA,0.039695635303539464,32112617450.92412,Y
UGC12633,352.55666666666707,15.7609722222222,58.360436806803754,0.0138215318721696,20.671886152020942,224.048615950824,MX,nonA,7.656849559535327,46139077614.35634,Y
UGC12767,356.2924999999999,7.04208333333333,72.99821921737149,0.0172882053104664,5.216220816047163,121.066540333224,QnR,nonA,0.35374353835826083,6920928352.291067,Y
UGC4310,124.31541666666696,1.20636111111111,59.91404346993142,0.0141894733267944,3.9781099314688806,250.836772525981,cQ,nonA,0.24429328337150372,9056566297.517715,N
