# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVsys, unit: km / s, datatype: float64, description: LSR Radio Velocity}
# - {name: coDobstim, unit: h, datatype: float64, description: D array observing time}
# - {name: coNpt, datatype: int64, description: No. of CARMA pointings}
# - {name: coDbmaj, unit: arcsec, datatype: float64, description: Native D-array beam major axis}
# - {name: coDbmin, unit: arcsec, datatype: float64, description: Native D-array beam minor axis}
# - {name: coRMS_mJybm, unit: mJy / beam, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coRMS_mK, unit: mK, datatype: float64, description: Noise in 20 km/s channel}
# - {name: coTpk_mK, unit: mK, datatype: int64, description: Peak brightness in 20 km/s channel}
# - {name: coSNRpeak, datatype: float64, description: Peak brightness in SNR units}
# - {name: ImagingDate, datatype: string, description: Date of imaging}
# delimiter: ','
# meta: !!omap
# - {date: '2020-06-01'}
# schema: astropy-2.0
Name,coVsys,coDobstim,coNpt,coDbmaj,coDbmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,ImagingDate
NGC2916,3683.6,4.01,7,4.51,3.52,8.8,50.9,284,5.57,04/02/15 22:32:40 CDT
NGC2918,6615.2,2.66,7,4.94,3.78,10.0,49.1,225,4.58,04/05/15 16:43:30 CDT
NGC3303,6150.0,2.66,7,5.03,3.57,8.1,41.3,219,5.29,04/02/15 22:40:39 CDT
NGC3381,1614.9,3.32,7,4.26,3.51,10.8,66.3,449,6.77,04/05/15 16:51:50 CDT
NGC3687,2480.2,3.52,7,4.73,3.76,12.6,65.3,293,4.5,04/02/15 22:48:18 CDT
NGC3811,3040.8,3.99,7,4.64,3.57,9.4,52.2,986,18.89,04/02/15 22:53:23 CDT
NGC3815,3667.7,3.31,7,4.34,3.67,9.1,52.4,446,8.51,04/02/15 22:58:00 CDT
NGC3994,3057.6,3.65,7,5.13,3.58,10.3,51.9,657,12.65,04/02/15 23:02:19 CDT
NGC4047,3402.4,3.34,7,4.81,3.43,10.2,56.9,1054,18.53,04/02/15 23:07:32 CDT
NGC4149,3048.1,3.3,7,4.92,3.41,9.0,49.3,764,15.49,04/02/15 23:13:01 CDT
NGC4185,3834.2,3.97,7,4.38,3.49,9.9,59.5,306,5.15,04/02/15 23:16:52 CDT
NGC4210,2693.2,3.98,7,4.83,3.54,10.6,56.9,323,5.67,04/02/15 23:20:31 CDT
