Name,Dname,coVsys,coObstim,coNpt,Bmaj,Bmin,coRMS_mJybm,coRMS_mK,coTpk_mK,coSNRpeak,co_mmom0_flux_Kkmsas^2,Last_updated
UGC10257,,3769,0.65,7,8.16,5.8,39.4,76.7,314,4.09,5.57E+02,07/22/15 12:00:27 CDT
UGC04054,,2130.8,0.67,7,9.52,6.59,28.3,41.6,170,4.09,1.11E+03,07/22/15 07:48:05 CDT
NGC5630,,2633.4,0.67,7,9.34,6.62,21,31.2,128,4.09,8.65E+02,07/22/15 02:08:06 CDT
UGC03944,,3854.5,0.89,7,9.09,6.47,18.1,28.4,116,4.08,5.37E+02,07/22/15 07:15:07 CDT
NGC6027,NGC6027,4370.1,0.66,7,7.24,6.21,18.5,37.9,154,4.06,5.85E+02,07/22/15 04:12:40 CDT
UGC00987,,4582.8,0.66,7,6.76,6.09,23.3,52.1,210,4.03,1.11E+02,07/22/15 06:49:25 CDT
UGC05244,UGC05244,2981.7,0.67,7,8.29,6.07,20.3,37.1,150,4.03,7.73E+02,07/22/15 08:28:35 CDT
UGC00841,,5481.8,0.66,7,7.57,6.53,18.2,33.9,137,4.03,1.32E+02,07/22/15 06:42:56 CDT
NGC6132,,4899.6,0.67,7,12.62,7.38,26.4,26.1,105,4.02,3.05E+03,07/22/15 04:50:35 CDT
NGC5029,,8461.3,0.16,1,7.92,5.79,24.8,49.7,199,4.01,1.01E+02,07/22/15 01:13:07 CDT
NGC5205,NGC5205,1760.3,0.67,7,8.87,6.88,25.8,38.9,156,4.01,1.78E+03,07/22/15 01:23:09 CDT
UGC06312,UGC06312,6201.5,0.66,7,7.21,6.83,37.4,70,280,4,6.63E+02,07/22/15 09:12:48 CDT
UGC05498NED01,UGC05498NED01,6174.4,0.66,7,7.45,6.44,27.3,52.5,209,3.98,2.28E+02,07/22/15 08:47:28 CDT
NGC6021,NGC6021,4674.9,0.67,7,10.39,6.84,40.4,52.4,208,3.97,1.15E+03,07/22/15 04:06:03 CDT
UGC08234,,7892.7,0.66,7,8.29,6.89,21.9,35.3,140,3.97,1.73E+02,07/22/15 09:51:15 CDT
UGC08250,UGC08250,5184,0.69,7,8.83,6.48,19.1,30.8,122,3.97,3.45E+02,07/22/15 09:57:16 CDT
UGC10905,,7743.1,0.33,7,7.71,6.33,25.9,48.9,193,3.95,1.69E+02,07/22/15 12:58:57 CDT
NGC2805,,1809.2,0.56,7,10.02,7.86,52,60.8,239,3.93,2.94E+03,07/21/15 21:55:41 CDT
UGC07145,,6498.8,0.66,7,8.87,6.41,20,32.5,128,3.93,2.36E+02,07/22/15 09:25:25 CDT
IC1256,,4693.3,0.68,7,8.57,6.01,54,96.6,378,3.91,1.26E+03,07/21/15 18:57:36 CDT
UGC05771,,7241,0.67,7,6.96,6.28,14.9,31.4,123,3.91,5.30E+02,07/22/15 08:59:58 CDT
UGC00809,UGC00809,4142.1,0.67,7,6.95,6.2,21.1,45.1,175,3.89,,07/22/15 06:36:31 CDT
UGC10972,,4580.8,0.66,7,9.21,6.62,43.7,66,255,3.87,1.21E+02,07/22/15 13:05:05 CDT
NGC2486,NGC2486,4569.7,0.33,7,9.86,6.61,55.5,78.5,302,3.84,5.84E+02,07/21/15 21:15:40 CDT
UGC09598,,5486.3,0.67,7,9.31,6.07,20.4,33.2,127,3.83,2.54E+02,07/22/15 10:49:11 CDT
UGC03995,,4701.1,0.66,7,7.45,6.39,21.9,42.4,161,3.81,2.89E+02,07/22/15 07:34:36 CDT
NGC6081,NGC6081,5032.1,0.67,7,9.5,6.17,56.6,89,336,3.78,2.11E+02,07/22/15 04:37:32 CDT
UGC03899,,3834.4,0.67,7,10.73,5.98,28.2,40.5,143,3.52,1.65E+02,07/22/15 07:09:11 CDT
