# %ECSV 0.9
# ---
# datatype:
# - {name: Name, datatype: string, description: Galaxy Name}
# - {name: coVlsr_smo7, unit: km / s, datatype: float64}
# - {name: coNomaskSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coNomaskUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coDilatedSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coDilatedUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coSmoothSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coSmoothUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# - {name: coMask2dSpec_smo7, unit: Jy, datatype: float64, format: .5f, description: channel-averaged flux}
# - {name: coMask2dUnc_smo7, unit: Jy, datatype: float64, format: .5f, description: formal uncertainty}
# delimiter: ','
# schema: astropy-2.0
Name,coVlsr_smo7,coNomaskSpec_smo7,coNomaskUnc_smo7,coDilatedSpec_smo7,coDilatedUnc_smo7,coSmoothSpec_smo7,coSmoothUnc_smo7,coMask2dSpec_smo7,coMask2dUnc_smo7
IC0540,2420.0,0.00323,0.35263,nan,nan,nan,nan,-0.04570,0.06638
IC0540,2440.0,-0.14111,0.35263,nan,nan,nan,nan,-0.06020,0.06638
IC0540,2460.0,-0.02344,0.35264,nan,nan,nan,nan,0.01457,0.06638
IC0540,2480.0,-0.08886,0.35264,nan,nan,nan,nan,0.05957,0.06638
IC0944,6420.0,-0.02722,0.22467,nan,nan,nan,nan,0.02273,0.07523
IC0944,6440.0,-0.03229,0.22465,nan,nan,nan,nan,0.06783,0.07523
IC0944,6460.0,-0.19074,0.22465,nan,nan,nan,nan,0.01291,0.07523
IC0944,6480.0,-0.13445,0.22460,nan,nan,nan,nan,0.05597,0.07523
IC0944,6500.0,-0.14587,0.22458,nan,nan,0.00356,0.02729,0.06191,0.07523
IC0944,6520.0,-0.10166,0.22456,0.00938,0.02137,0.02618,0.03743,0.01429,0.07523
IC0944,6540.0,0.23390,0.22456,0.10559,0.02711,0.10466,0.04449,-0.01165,0.07523
IC0944,6560.0,-0.02300,0.22454,0.16164,0.03136,0.16224,0.04613,0.16875,0.07523
IC0944,6580.0,0.02160,0.22454,0.25839,0.03248,0.28700,0.04852,0.20010,0.07523
IC0944,6600.0,0.03810,0.22455,0.21523,0.03505,0.21262,0.04874,0.20123,0.07522
IC0944,6620.0,0.02230,0.22455,0.19698,0.03376,0.15481,0.05118,0.08853,0.07522
IC0944,6640.0,-0.20579,0.22455,0.13812,0.03448,0.10452,0.04704,-0.04090,0.07522
IC0944,6660.0,-0.27009,0.22455,0.20671,0.03266,0.20761,0.04376,0.10245,0.07522
IC0944,6680.0,0.04993,0.22456,0.15040,0.02815,0.15201,0.04294,0.11208,0.07522
IC0944,6700.0,0.12155,0.22456,0.12772,0.02453,0.09462,0.04078,-0.03906,0.07522
IC0944,6720.0,0.13069,0.22451,0.14040,0.02380,0.15238,0.03558,0.09467,0.07522
IC0944,6740.0,0.06190,0.22451,0.12093,0.02305,0.10723,0.03557,0.10267,0.07522
IC0944,6760.0,-0.08917,0.22452,0.09762,0.02179,0.09990,0.03810,0.14693,0.07522
IC0944,6780.0,-0.13976,0.22452,0.11036,0.02147,0.06192,0.03746,-0.01313,0.07521
